Country	TerritoryName	CategoryName	ProductSubcategory	ProductName	ProductColor	OrderQty	SubTotal	YearOrdered	MonthOrdered
USA	Northwest	Accessories	Tires and Tubes	Touring Tire Tube		1	68.97	2014	January
USA	Northwest	Accessories	Tires and Tubes	Touring Tire		1	68.97	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	68.97	2014	January
USA	Northwest	Accessories	Tires and Tubes	LL Mountain Tire		1	93.48	2014	January
USA	Northwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	93.48	2014	January
USA	Northwest	Clothing	Vests	Classic Vest, L	Blue	1	93.48	2014	January
USA	Northwest	Accessories	Tires and Tubes	ML Mountain Tire		1	38.98	2014	January
USA	Northwest	Clothing	Socks	Racing Socks, L	White	1	38.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Road Tire		1	36.59	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	36.59	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	124.45	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	124.45	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	124.45	2014	January
USA	Southwest	Clothing	Jerseys	Long-Sleeve Logo Jersey, S	Multi	1	124.45	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, L	Black	1	124.45	2014	January
USA	Northwest	Clothing	Shorts	Women's Mountain Shorts, M	Black	1	69.99	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	39.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	39.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	4.99	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-500 Silver, 40	Silver	1	589.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	LL Mountain Tire		1	589.98	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Black, 46	Black	1	2341.46	2014	January
USA	Southwest	Accessories	Fenders	Fender Set - Mountain		1	2341.46	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, L	Black	1	2341.46	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Silver, 38	Silver	1	2420.45	2014	January
USA	Southwest	Accessories	Fenders	Fender Set - Mountain		1	2420.45	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2420.45	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, M	Blue	1	2420.45	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	2420.45	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Yellow, 50	Yellow	1	2393.06	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	2393.06	2014	January
USA	Northwest	Bikes	Touring Bikes	Touring-1000 Blue, 54	Blue	1	2384.07	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 44	Black	1	561.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	LL Road Tire		1	561.48	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 52	Black	1	608.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	608.96	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	608.96	2014	January
USA	Southwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	608.96	2014	January
USA	Northwest	Bikes	Road Bikes	Road-350-W Yellow, 48	Yellow	1	1700.99	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	34.99	2014	January
USA	Southwest	Accessories	Tires and Tubes	LL Road Tire		1	23.78	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	23.78	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	90.58	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Road Tire		1	90.58	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	90.58	2014	January
USA	Southwest	Accessories	Tires and Tubes	LL Mountain Tire		1	49.48	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, S	Black	1	49.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	29.99	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	69.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	69.97	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	69.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	93.49	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, L	Blue	1	93.49	2014	January
USA	Northwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	49.97	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	49.97	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	49.97	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	31.92	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	31.92	2014	January
USA	Southwest	Accessories	Cleaners	Bike Wash - Dissolver		1	31.92	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	31.92	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	39.98	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	39.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	103.48	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	103.48	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, S	Blue	1	103.48	2014	January
USA	Northwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	12.94	2014	January
USA	Northwest	Accessories	Cleaners	Bike Wash - Dissolver		1	12.94	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	64.47	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, M	Black	1	64.47	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	64.47	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Mountain Tire		1	74.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	74.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	74.98	2014	January
USA	Northwest	Accessories	Fenders	Fender Set - Mountain		1	75.97	2014	January
USA	Northwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	75.97	2014	January
USA	Northwest	Bikes	Mountain Bikes	Mountain-400-W Silver, 38	Silver	1	769.49	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Black, 46	Black	1	2376.45	2014	January
USA	Southwest	Accessories	Fenders	Fender Set - Mountain		1	2376.45	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	2376.45	2014	January
USA	Southwest	Clothing	Gloves	Half-Finger Gloves, S	Black	1	2376.45	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Silver, 42	Silver	1	2356.95	2014	January
USA	Southwest	Accessories	Fenders	Fender Set - Mountain		1	2356.95	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	2356.95	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2356.95	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Yellow, 46	Yellow	1	2420.34	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire		1	2420.34	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire Tube		1	2420.34	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2420.34	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Blue, 60	Blue	1	2418.05	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire		1	2418.05	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire Tube		1	2418.05	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 48	Yellow	1	1155.48	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	1155.48	2014	January
USA	Northwest	Bikes	Road Bikes	Road-550-W Yellow, 42	Yellow	1	1183.47	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	1183.47	2014	January
USA	Northwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	1183.47	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 48	Yellow	1	1151.76	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	1151.76	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Road Tire		1	1151.76	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	1151.76	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 40	Yellow	1	1209.47	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	1209.47	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	1209.47	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 38	Yellow	1	1243.44	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Road Tire		1	1243.44	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	1243.44	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Black	Black	1	1243.44	2014	January
USA	Southwest	Clothing	Jerseys	Long-Sleeve Logo Jersey, L	Multi	1	1243.44	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	1243.44	2014	January
USA	Northwest	Bikes	Road Bikes	Road-350-W Yellow, 48	Yellow	1	1709.98	2014	January
USA	Northwest	Accessories	Bottles and Cages	Road Bottle Cage		1	1709.98	2014	January
USA	Southwest	Bikes	Road Bikes	Road-350-W Yellow, 44	Yellow	1	1763.97	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	1763.97	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	1763.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2.29	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Road Tire		1	24.99	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire		1	152.47	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire Tube		1	152.47	2014	January
USA	Southwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	152.47	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, S	Blue	1	152.47	2014	January
USA	Northwest	Accessories	Tires and Tubes	LL Mountain Tire		1	89.46	2014	January
USA	Northwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	89.46	2014	January
USA	Northwest	Clothing	Gloves	Half-Finger Gloves, S	Black	1	89.46	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	89.46	2014	January
USA	Northwest	Accessories	Tires and Tubes	Touring Tire		1	28.99	2014	January
USA	Northwest	Accessories	Tires and Tubes	Road Tire Tube		1	75.47	2014	January
USA	Northwest	Accessories	Tires and Tubes	LL Road Tire		1	75.47	2014	January
USA	Northwest	Clothing	Jerseys	Long-Sleeve Logo Jersey, M	Multi	1	75.47	2014	January
USA	Northwest	Accessories	Tires and Tubes	HL Road Tire		1	99.57	2014	January
USA	Northwest	Accessories	Tires and Tubes	Road Tire Tube		1	99.57	2014	January
USA	Northwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	99.57	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	99.57	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire		1	96.92	2014	January
USA	Southwest	Accessories	Tires and Tubes	Touring Tire Tube		1	96.92	2014	January
USA	Southwest	Accessories	Hydration Packs	Hydration Pack - 70 oz.	Silver	1	96.92	2014	January
USA	Southwest	Accessories	Cleaners	Bike Wash - Dissolver		1	96.92	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	34.98	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Mountain Tire		1	34.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	44.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	44.98	2014	January
USA	Southwest	Clothing	Shorts	Women's Mountain Shorts, L	Black	1	123.98	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, S	Yellow	1	123.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	39.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	39.98	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	13.98	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	13.98	2014	January
USA	Northwest	Accessories	Fenders	Fender Set - Mountain		1	56.97	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	56.97	2014	January
USA	Northwest	Clothing	Vests	Classic Vest, L	Blue	1	85.48	2014	January
USA	Northwest	Accessories	Fenders	Fender Set - Mountain		1	85.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	138.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Mountain Tire		1	138.48	2014	January
USA	Southwest	Clothing	Vests	Classic Vest, M	Blue	1	138.48	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	138.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	42.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	HL Mountain Tire		1	42.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	42.28	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-400-W Silver, 46	Silver	1	848.47	2014	January
USA	Southwest	Clothing	Shorts	Women's Mountain Shorts, S	Black	1	848.47	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	848.47	2014	January
USA	Northwest	Bikes	Mountain Bikes	Mountain-200 Silver, 46	Silver	1	2322.28	2014	January
USA	Northwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	2322.28	2014	January
USA	Southwest	Bikes	Mountain Bikes	Mountain-200 Black, 42	Black	1	2329.98	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	2329.98	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Blue, 46	Blue	1	2433.04	2014	January
USA	Southwest	Accessories	Bottles and Cages	Road Bottle Cage		1	2433.04	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2433.04	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	2433.04	2014	January
USA	Northwest	Bikes	Touring Bikes	Touring-1000 Blue, 60	Blue	1	2407.04	2014	January
USA	Northwest	Accessories	Bottles and Cages	Road Bottle Cage		1	2407.04	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2407.04	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	2407.04	2014	January
USA	Northwest	Bikes	Touring Bikes	Touring-1000 Yellow, 46	Yellow	1	2407.04	2014	January
USA	Northwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	2407.04	2014	January
USA	Northwest	Clothing	Caps	AWC Logo Cap	Multi	1	2407.04	2014	January
USA	Northwest	Accessories	Bottles and Cages	Road Bottle Cage		1	2407.04	2014	January
USA	Southwest	Bikes	Touring Bikes	Touring-1000 Yellow, 54	Yellow	1	2469.05	2014	January
USA	Southwest	Accessories	Helmets	Sport-100 Helmet, Red	Red	1	2469.05	2014	January
USA	Southwest	Clothing	Jerseys	Long-Sleeve Logo Jersey, L	Multi	1	2469.05	2014	January
USA	Southwest	Bikes	Road Bikes	Road-750 Black, 44	Black	1	561.48	2014	January
USA	Southwest	Accessories	Tires and Tubes	LL Road Tire		1	561.48	2014	January
USA	Southwest	Bikes	Road Bikes	Road-550-W Yellow, 38	Yellow	1	1174.48	2014	January
USA	Southwest	Clothing	Jerseys	Short-Sleeve Classic Jersey, M	Yellow	1	1174.48	2014	January
USA	Southwest	Bikes	Road Bikes	Road-350-W Yellow, 40	Yellow	1	1729.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	ML Road Tire		1	1729.97	2014	January
USA	Southwest	Accessories	Tires and Tubes	Road Tire Tube		1	1729.97	2014	January
USA	Northwest	Accessories	Tires and Tubes	LL Mountain Tire		1	24.99	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	14.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	14.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Mountain Bottle Cage		1	14.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	14.98	2014	January
USA	Southwest	Clothing	Shorts	Women's Mountain Shorts, L	Black	1	78.98	2014	January
USA	Southwest	Clothing	Caps	AWC Logo Cap	Multi	1	78.98	2014	January
USA	Southwest	Accessories	Bottles and Cages	Water Bottle - 30 oz.		1	127.28	2014	January
USA	Southwest	Accessories	Tires and Tubes	Patch Kit/8 Patches		1	127.28	2014	January
USA	Southwest	Accessories	Bike Racks	Hitch Rack - 4-Bike		1	127.28	2014	January
USA	Northwest	Accessories	Tires and Tubes	Mountain Tire Tube		1	39.98	2014	January
USA	Northwest	Accessories	Helmets	Sport-100 Helmet, Blue	Blue	1	39.98	2014	January
USA	Northwest	Accessories	Fenders	Fender Set - Mountain		1	86.96	2014	January
